ustomer_id	ltv	ltv_segment	churn_risk	customer_segment
8739-QOTTN	40.7	Low Value	Low Risk	Low Priority
5562-YJQGT	40.7	Low Value	Low Risk	Low Priority
4195-SMMNX	40.7	Low Value	Low Risk	Low Priority
1796-JANOW	39.9	Low Value	Low Risk	Low Priority
4986-MXSFP	40.0	Low Value	Low Risk	Low Priority
2410-CIYFZ	40.8	Low Value	Low Risk	Low Priority
0188-GWFLE	40.1	Low Value	Low Risk	Low Priority
2832-SCUCO	39.8	Low Value	Low Risk	Low Priority
8006-PYCSW	40.2	Low Value	Low Risk	Low Priority
3007-FDPEA	41.4	Low Value	Low Risk	Low Priority
6942-LBFDP	41.1	Low Value	Low Risk	Low Priority
5067-DGXLL	40.5	Low Value	Low Risk	Low Priority
9818-XQCUV	40.7	Low Value	Low Risk	Low Priority
6870-ECSHE	40.9	Low Value	Low Risk	Low Priority
4697-LUPSU	40.4	Low Value	Low Risk	Low Priority
9700-ZCLOT	40.0	Low Value	Low Risk	Low Priority
1755-RMCXH	40.6	Low Value	Low Risk	Low Priority
8150-QUDFX	39.7	Low Value	Low Risk	Low Priority
5173-ZXXXL	39.9	Low Value	Low Risk	Low Priority
7734-DBOAI	40.1	Low Value	Low Risk	Low Priority
8610-ZIKJJ	40.6	Low Value	Low Risk	Low Priority
5919-VCZYM	40.1	Low Value	Low Risk	Low Priority
2342-CKIAO	40.6	Low Value	Low Risk	Low Priority
9514-JDSKI	40.2	Low Value	Low Risk	Low Priority
0871-OPBXW	40.1	Low Value	Low Risk	Low Priority
9137-NOQKA	38.4	Low Value	Low Risk	Low Priority
9426-SXNHE	37.5	Low Value	Low Risk	Low Priority
3936-QQFLL	39.5	Low Value	Low Risk	Low Priority
9101-NTIXF	38.8	Low Value	Low Risk	Low Priority
2640-LYMOV	39.3	Low Value	Low Risk	Low Priority
0396-HUJBP	38.6	Low Value	Low Risk	Low Priority
0883-EIBTI	39.0	Low Value	Low Risk	Low Priority
0366-NQSHS	38.7	Low Value	Low Risk	Low Priority
3845-FXCYS	39.3	Low Value	Low Risk	Low Priority
3156-QLHBO	38.5	Low Value	Low Risk	Low Priority
3091-FYHKI	35.45	Low Value	Low Risk	Low Priority
5378-IKEEG	35.75	Low Value	Low Risk	Low Priority
3776-EKTKM	36.45	Low Value	Low Risk	Low Priority
7854-FOKSF	35.9	Low Value	Low Risk	Low Priority
2049-BAFNW	35.9	Low Value	Low Risk	Low Priority
0375-HVGXO	34.7	Low Value	Low Risk	Low Priority
1740-CSDJP	35.25	Low Value	Low Risk	Low Priority
