CustomerID,Actual Churn,Churn Probability,Predicted Churn,Risk Level
3668-QPYBK,1,28.77,0,Low Risk
9237-HQITU,1,46.33,0,Medium Risk
9305-CDSKC,1,43.6,0,Medium Risk
7892-POOKP,1,51.33,1,Medium Risk
0280-XJGEX,1,11.73,0,Low Risk
4190-MFLUW,1,43.4,0,Medium Risk
8779-QRDMV,1,69.25,1,High Risk
1066-JKSGK,1,40.35,0,Medium Risk
6467-CHFZW,1,42.5,0,Medium Risk
8665-UTDHZ,1,75.86,1,High Risk
8773-HHUOZ,1,56.2,1,Medium Risk
6047-YHPVI,1,28.71,0,Low Risk
5380-WJKOV,1,23.55,0,Low Risk
8168-UQWWF,1,45.14,0,Medium Risk
7760-OYPDY,1,62.98,1,High Risk
9420-LOJKX,1,14.66,0,Low Risk
7495-OOKFY,1,22.52,0,Low Risk
1658-BYGOY,1,27.83,0,Low Risk
5698-BQJOH,1,15.08,0,Low Risk
5919-TMRGD,1,60.09,1,High Risk
9191-MYQKX,1,37.83,0,Medium Risk
8637-XJIVR,1,34.26,0,Medium Risk
0278-YXOOG,1,18.82,0,Low Risk
4598-XLKNJ,1,40.03,0,Medium Risk
3192-NQECA,1,10.88,0,Low Risk
0486-HECZI,1,8.92,0,Low Risk
4846-WHAFZ,1,16.04,0,Low Risk
5299-RULOA,1,39.76,0,Medium Risk
0404-SWRVG,1,59.57,1,Medium Risk
4412-YLTKF,1,38.53,0,Medium Risk
6207-WIOLX,1,24.56,0,Low Risk
3091-FYHKI,1,77.84,1,High Risk
2372-HWUHI,1,74.7,1,High Risk
0390-DCFDQ,1,22.2,0,Low Risk
4080-OGPJL,1,30.48,0,Medium Risk
2135-RXIHG,1,51.56,1,Medium Risk
3874-EQOEP,1,47.1,0,Medium Risk
0867-MKZVY,1,12.45,0,Low Risk
3376-BMGFE,1,30.78,0,Medium Risk
3445-HXXGF,1,26.84,0,Low Risk
1875-QIVME,1,82.26,1,High Risk
0691-JVSYA,1,19.9,0,Low Risk
2656-FMOKZ,1,31.05,0,Medium Risk
2070-FNEXE,1,13.36,0,Low Risk
6317-YPKDH,1,39.49,0,Medium Risk
9367-WXLCH,1,30.6,0,Medium Risk
1918-ZBFQJ,1,29.33,0,Low Risk
1024-GUALD,1,80.79,1,High Risk
2472-OVKUP,1,39.43,0,Medium Risk
1285-OKIPP,1,54.63,1,Medium Risk
7825-ECJRF,1,23.86,0,Low Risk
7841-TZDMQ,1,49.75,0,Medium Risk
