CustomerID,Actual Churn,Churn Probability,Predicted Churn,Risk Level
7180-PISOG,1,97.29,1,High Risk
2656-TABEH,1,96.08,1,High Risk
7384-GHBPI,1,95.78,1,High Risk
7228-OMTPN,1,95.76,1,High Risk
1455-UGQVH,1,95.64,1,High Risk
2446-BEGGB,1,95.4,1,High Risk
1143-NMNQJ,1,95.24,1,High Risk
9965-YOKZB,1,95.16,1,High Risk
1569-TTNYJ,1,94.86,1,High Risk
5955-ERIHD,1,94.64,1,High Risk
4952-YSOGZ,1,94.54,1,High Risk
2309-OSFEU,1,94.45,1,High Risk
4548-SDBKE,1,94.39,1,High Risk
8065-YKXKD,1,94.37,1,High Risk
8580-AECUZ,1,94.05,1,High Risk
1846-XWOQN,1,94.01,1,High Risk
0637-KVDLV,1,93.96,1,High Risk
5192-EBGOV,1,93.82,1,High Risk
3389-YGYAI,1,93.65,1,High Risk
9725-SCPZG,1,93.61,1,High Risk
8835-VSDSE,1,93.46,1,High Risk
2982-VPSGI,1,93.39,1,High Risk
0295-PPHDO,1,93.38,1,High Risk
4210-QFJMF,1,93.36,1,High Risk
7576-OYWBN,1,93.18,1,High Risk
5134-IKDAY,1,93.08,1,High Risk
6683-VLCTZ,1,93.04,1,High Risk
2462-XIIJB,1,92.9,1,High Risk
0011-IGKFF,1,92.84,1,High Risk
2359-KMGLI,1,92.79,1,High Risk
7817-BOQPW,1,92.64,1,High Risk
3143-JQEGI,1,92.61,1,High Risk
1626-ERCMM,1,92.53,1,High Risk
8945-GRKHX,1,92.46,1,High Risk
3319-DWOEP,1,92.35,1,High Risk
8337-UPOAQ,1,92.16,1,High Risk
5567-WSELE,1,92.11,1,High Risk
5229-PRWKT,1,92.0,1,High Risk
7240-ETPTR,1,91.98,1,High Risk
1415-YFWLT,1,91.82,1,High Risk
0107-YHINA,1,91.58,1,High Risk
1867-BDVFH,1,91.22,1,High Risk
3158-MOERK,1,91.21,1,High Risk
1075-BGWOH,1,91.15,1,High Risk
